date,week,month,year,lpath,show,jobnumber,tasktype,dept,task,scene,shot,entitytype,entity,jiraproject,jiraissue,username,zone,entries,days_logged,days_signed_off
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(257kl)/SHOT(257kl_270)/DEPT(comp)/TASK(comp),project10,7547,shot,comp,comp,257kl,257kl_270,,,,,010d9417c18c3061e4de7d21db7405dd,Vancouver,2,1.00000000000000000000,1.00000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(356np)/SHOT(356np_380)/DEPT(charfinal)/TASK(char_final),project10,7547,shot,charfinal,char_final,356np,356np_380,,,,,020531bae4f9c5b7b1bb8490948e014c,Vancouver,1,0.37500000000000000000,0.37500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(253ds)/SHOT(253ds_069)/DEPT(charfinal)/TASK(char_final),project10,7547,shot,charfinal,char_final,253ds,253ds_069,,,,,020531bae4f9c5b7b1bb8490948e014c,Vancouver,2,0.62500000000000000000,0.62500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(supervision),project10,7547,global-supervision,,supervision,,,,,,,0251f87bcdcd6cb5e975e7807c6e0d1e,Vancouver,2,0.25000000000000000000,0.25000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(meeting),project10,7547,global-meeting,,meeting,,,,,,,0251f87bcdcd6cb5e975e7807c6e0d1e,Vancouver,1,0.18750000000000000000,0.18750000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(supervision),project10,7547,global-supervision,,supervision,,,,,,,02f94f61ed841742eabf23569b78e0f2,Sydney,1,0.43750000000000000000,0.43750000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(357fl)/SHOT(357fl_480)/DEPT(anim)/TASK(animation),project10,7547,shot,anim,animation,357fl,357fl_480,,,,,03a7b3e21a5a6485170c9fe20abb68cf,Vancouver,2,0.46875000000000000000,0.46875000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(373sf)/SHOT(373sf_160)/DEPT(anim)/TASK(anim_redo),project10,7547,shot,anim,anim_redo,373sf,373sf_160,,,,,03a7b3e21a5a6485170c9fe20abb68cf,Vancouver,2,0.65625000000000000000,0.65625000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(supervision),project10,7547,global-supervision,,supervision,,,,,,,0506dc116835f12dd3e11c4391b8d933,Vancouver,2,1.00000000000000000000,1.00000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(prod),project10,7547,global-prod,,prod,,,,,,,0655a8b08e57d08b984f61fd4dae10e5,Sydney,2,0.62500000000000000000,0.62500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(025ws)/SHOT(025ws_022)/DEPT(light)/TASK(light_qc),project10,7547,shot,light,light_qc,025ws,025ws_022,,,,,06a035704c1f914cfbee1d6272ef2966,Vancouver,1,0.12500000000000000000,0.12500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(170td)/SHOT(170td_430)/DEPT(light)/TASK(shot_lighting),project10,7547,shot,light,shot_lighting,170td,170td_430,,,,,06a035704c1f914cfbee1d6272ef2966,Vancouver,1,0.37500000000000000000,0.37500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(025ws)/SHOT(025ws_030)/DEPT(light)/TASK(light_redo),project10,7547,shot,light,light_redo,025ws,025ws_030,,,,,06a035704c1f914cfbee1d6272ef2966,Vancouver,1,0.12500000000000000000,0.12500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(170td)/SHOT(170td_410)/DEPT(light)/TASK(light_qc),project10,7547,shot,light,light_qc,170td,170td_410,,,,,06a035704c1f914cfbee1d6272ef2966,Vancouver,1,0.12500000000000000000,0.12500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(170td)/SHOT(170td_440)/DEPT(light)/TASK(shot_lighting),project10,7547,shot,light,shot_lighting,170td,170td_440,,,,,06a035704c1f914cfbee1d6272ef2966,Vancouver,1,0.25000000000000000000,0.25000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(prod),project10,7547,global-prod,,prod,,,,,,,08e39315e3dea83c387af90b2ba8e04a,Vancouver,2,1.1250000000000000,1.1250000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(prod),project10,7547,global-prod,,prod,,,,,,,097937e8fe1983b037d5ffb4a0aaac10,Vancouver,2,1.00000000000000000000,1.00000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASKLEVEL(dev)/JIRAPROJECT(light)/JIRAISSUE(light_1743),project10,7547,jira-issue,,,,,,,light,light_1743,09c0fe5c6b6b75f64cb5e4e23c9f649f,Vancouver,6,0.65625000000000000000,0.65625000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(supervision),project10,7547,global-supervision,,supervision,,,,,,,0bae1816f29563758f6e02a95790b0a2,Vancouver,3,1.5000000000000000,1.5000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(441lo)/SHOT(441lo_180)/DEPT(anim)/TASK(anim_blocking),project10,7547,shot,anim,anim_blocking,441lo,441lo_180,,,,,0caf8ed8f3c9b2f2f59b47ccd548a29c,Vancouver,2,0.71875000000000000000,0.71875000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(441lo)/SHOT(441lo_160)/DEPT(anim)/TASK(anim_blocking),project10,7547,shot,anim,anim_blocking,441lo,441lo_160,,,,,0caf8ed8f3c9b2f2f59b47ccd548a29c,Vancouver,1,0.28125000000000000000,0.28125000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(supervision),project10,7547,global-supervision,,supervision,,,,,,,0d0de813c1105498e3435dd2fbf7fa26,Vancouver,3,1.4062500000000000,1.4062500000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(prod),project10,7547,global-prod,,prod,,,,,,,0e0d0caea7134c3b68dcddaad5cc76da,Vancouver,1,1.3125000000000000,1.3125000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(267mw)/SHOT(267mw_170)/DEPT(comp)/TASK(comp),project10,7547,shot,comp,comp,267mw,267mw_170,,,,,0e62a268e1da6fd1a340bcfd71495012,Vancouver,1,0.37500000000000000000,0.37500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(054am)/SHOT(054am_090)/DEPT(comp)/TASK(comp),project10,7547,shot,comp,comp,054am,054am_090,,,,,0e62a268e1da6fd1a340bcfd71495012,Vancouver,1,0.62500000000000000000,0.62500000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(121ka)/SHOT(121ka_021)/DEPT(anim)/TASK(anim_redo),project10,7547,shot,anim,anim_redo,121ka,121ka_021,,,,,0e77c0358a81d13e49543b55ce5faf5d,Vancouver,2,0.65625000000000000000,0.65625000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(443wp)/SHOT(443wp_015)/DEPT(anim)/TASK(anim_blocking),project10,7547,shot,anim,anim_blocking,443wp,443wp_015,,,,,0e77c0358a81d13e49543b55ce5faf5d,Vancouver,1,0.34375000000000000000,0.34375000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(443wp)/SHOT(443wp_010)/DEPT(anim)/TASK(anim_qc),project10,7547,shot,anim,anim_qc,443wp,443wp_010,,,,,0e77c0358a81d13e49543b55ce5faf5d,Vancouver,1,0.25000000000000000000,0.25000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(prod),project10,7547,global-prod,,prod,,,,,,,0ecf87ea45e9b605c495c17e21bbf182,Vancouver,2,1.0312500000000000,1.0312500000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASKLEVEL(department)/DEPT(light)/TASK(training),project10,7547,global-dept,light,training,,,,,,,0edc4efb45bf084370bad4680ee55aaf,Vancouver,2,1.00000000000000000000,1.00000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(425ll)/SHOT(425ll_850)/DEPT(charfx)/TASK(charfx),project10,7547,shot,charfx,charfx,425ll,425ll_850,,,,,0fcc6dd19e8eb968cfdb0f3d65c6fd2a,Sydney,1,0.18750000000000000000,0.18750000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(445bt)/SHOT(445bt_120)/DEPT(charfx)/TASK(charfx),project10,7547,shot,charfx,charfx,445bt,445bt_120,,,,,101bdaab095bc03c8de07c64f092a3fb,Vancouver,1,0.25000000000000000000,0.25000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(040dr)/SHOT(040dr_040)/DEPT(charfx)/TASK(charfx),project10,7547,shot,charfx,charfx,040dr,040dr_040,,,,,101bdaab095bc03c8de07c64f092a3fb,Vancouver,1,0.25000000000000000000,0.25000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(095dd)/SHOT(095dd_500_in01)/DEPT(charfx)/TASK(charfx),project10,7547,shot,charfx,charfx,095dd,095dd_500_in01,,,,,101bdaab095bc03c8de07c64f092a3fb,Vancouver,2,0.50000000000000000000,0.50000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(060jm)/SHOT(060jm_374)/DEPT(fx)/TASK(fx),project10,7547,shot,fx,fx,060jm,060jm_374,,,,,102ea00cdaa7e4d84775cf427ffd36a8,Sydney,2,1.00000000000000000000,1.00000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(373sf)/SHOT(373sf_480)/DEPT(light)/TASK(shot_lighting),project10,7547,shot,light,shot_lighting,373sf,373sf_480,,,,,1166383394b6176fd4b38c88a383d6f1,Sydney,1,0.09375000000000000000,0.09375000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(373sf)/SHOT(373sf_427)/DEPT(light)/TASK(shot_lighting),project10,7547,shot,light,shot_lighting,373sf,373sf_427,,,,,1166383394b6176fd4b38c88a383d6f1,Sydney,3,0.34375000000000000000,0.34375000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(373sf)/SHOT(373sf_460)/DEPT(light)/TASK(shot_lighting),project10,7547,shot,light,shot_lighting,373sf,373sf_460,,,,,1166383394b6176fd4b38c88a383d6f1,Sydney,1,0.15625000000000000000,0.15625000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(373sf)/SHOT(373sf_040)/DEPT(light)/TASK(shot_lighting),project10,7547,shot,light,shot_lighting,373sf,373sf_040,,,,,1166383394b6176fd4b38c88a383d6f1,Sydney,1,0.09375000000000000000,0.09375000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(377kf)/SHOT(377kf_230)/DEPT(light)/TASK(final_lighting),project10,7547,shot,light,final_lighting,377kf,377kf_230,,,,,1166383394b6176fd4b38c88a383d6f1,Sydney,2,0.43750000000000000000,0.43750000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/TASK(training),project10,7547,global-training,,training,,,,,,,126f9bda40c5807790d13ad2dcef33d9,Vancouver,2,1.00000000000000000000,1.00000000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(040dr)/SHOT(040dr_010)/DEPT(anim)/TASK(animation),project10,7547,shot,anim,animation,040dr,040dr_010,,,,,13dfcc8e24d57bc9263a8694dd478454,Vancouver,2,0.40625000000000000000,0.40625000000000000000
2021-06-09,2021-06-07,2021-06-01,2021,/JOB(project10)/JOBNUMBER(7547)/SCENE(040dr)/SHOT(040dr_015)/DEPT(anim)/TASK(anim_qc),project10,7547,shot,anim,anim_qc,040dr,040dr_015,,,,,13dfcc8e24d57bc9263a8694dd478454,Vancouver,3,0.84375000000000000000,0.84375000000000000000
